state,ger,students,universities,faculty,population_18_23,year,students_per_uni,faculty_per_student,enrollment_rate_proxy,universities_per_lakh_population,faculty_per_lakh_population
Andhra Pradesh,32.35827096429423,1760830.0,41.0,99398.0,5441669.0,2018,42947.07317073171,0.05644951528540518,32.35827096429423,0.7534453124583652,1826.6087114082095
Arunachal Pradesh,28.632944064968996,45482.0,10.0,1504.0,158845.0,2018,4548.2,0.033068026911745305,28.632944064968996,6.295445245364979,946.8349649028927
Assam,17.95890878104026,672506.0,22.0,22849.0,3744693.0,2018,30568.454545454544,0.033975905047687306,17.95890878104026,0.587498093969252,610.1701795047018
Bihar,13.602553644539364,1607008.0,33.0,26450.0,11814017.0,2018,48697.21212121212,0.016459158884087697,13.602553644539364,0.2793292069919994,223.88659166479954
Chandigarh,50.55296856810244,99009.0,3.0,3532.0,195852.0,2018,33003.0,0.035673524629074124,50.55296856810244,1.5317688867103734,1803.4025692870127
Chhattisgarh,18.63828876448346,586924.0,28.0,20630.0,3149023.0,2018,20961.571428571428,0.03514935494203679,18.63828876448346,0.8891646710741713,655.1238272950055
Delhi,46.27696969670942,1077556.0,27.0,20647.0,2328493.0,2018,39909.48148148148,0.019160953119837856,46.27696969670942,1.1595482571774962,886.7108468868063
Goa,30.136850401512355,54680.0,3.0,3418.0,181439.0,2018,18226.666666666668,0.06250914411119239,30.136850401512355,1.6534482663594927,1883.8287248055822
Gujarat,20.438075708099788,1478052.0,72.0,57529.0,7231855.0,2018,20528.5,0.038922175945095304,20.438075708099788,0.9955951827020867,795.4943786898382
Haryana,28.056952844406837,893206.0,48.0,35677.0,3183546.0,2018,18608.458333333332,0.03994263361419426,28.056952844406837,1.5077526757898267,1120.6685877948676
Himachal Pradesh,39.55421042070765,283860.0,26.0,10411.0,717648.0,2018,10917.692307692309,0.03667653068414007,39.55421042070765,3.622946068267451,1450.7112121820167
Jammu and Kashmir,30.859044048441227,394099.0,15.0,11202.0,1277094.0,2018,26273.266666666666,0.02842432992725178,30.859044048441227,1.1745415764227223,877.1476492724889
Jharkhand,19.10914568771285,739484.0,25.0,12366.0,3869791.0,2018,29579.36,0.01672247134488373,19.10914568771285,0.6460297209849317,319.55214118798665
Karnataka,28.76556234638008,1988494.0,65.0,133337.0,6912759.0,2018,30592.215384615385,0.06705426317605183,28.76556234638008,0.9402902661585627,1928.8535879812964
Kerala,36.982907113621394,1095842.0,23.0,59236.0,2963104.0,2018,47645.30434782609,0.0540552378901338,36.982907113621394,0.7762130522587124,1999.1198418955257
Madhya Pradesh,21.524314680468333,1929344.0,65.0,59184.0,8963556.0,2018,29682.215384615385,0.030675711537185697,21.524314680468333,0.7251586312396553,660.2736681736578
Maharashtra,31.970381535209754,4230326.0,62.0,158939.0,13232016.0,2018,68231.06451612903,0.0375713361097939,31.970381535209754,0.46856049750846734,1201.1699502177144
Manipur,33.73369885788858,110377.0,6.0,5035.0,327201.0,2018,18396.166666666668,0.04561638747202769,33.73369885788858,1.8337352269705778,1538.809477966143
Meghalaya,22.429632438549664,75711.0,10.0,3312.0,337549.0,2018,7571.1,0.04374529460712446,22.429632438549664,2.962532847082942,981.1908789538704
Mizoram,25.658897162815776,32838.0,3.0,1868.0,127979.0,2018,10946.0,0.05688531579267921,25.658897162815776,2.344134584580283,1459.614467998656
Nagaland,18.733234163366724,45462.0,5.0,2379.0,242681.0,2018,9092.4,0.05232941797545203,18.733234163366724,2.060317865840342,980.2992405668346
Odisha,21.49673382632512,990436.0,28.0,38097.0,4607379.0,2018,35372.71428571428,0.038464878094091895,21.49673382632512,0.6077207887608117,826.8692460507373
Puducherry,43.32855695382899,72269.0,4.0,5879.0,166793.0,2018,18067.25,0.08134884943751816,43.32855695382899,2.3981821779091446,3524.7282559819655
Punjab,27.02703222357952,843398.0,32.0,51575.0,3120572.0,2018,26356.1875,0.06115143739966184,27.02703222357952,1.025453025919607,1652.7418691188668
Rajasthan,21.2478389844659,1921485.0,83.0,71088.0,9043202.0,2018,23150.421686746988,0.036996385608006305,21.2478389844659,0.9178164990674762,786.0932444061295
Sikkim,53.920284309783526,41572.0,7.0,1564.0,77099.0,2018,5938.857142857143,0.03762147599345714,53.920284309783526,9.079235787753408,2028.560681720904
Tamil Nadu,49.0310602695577,3414196.0,59.0,195993.0,6963333.0,2018,57867.72881355932,0.05740531592210875,49.0310602695577,0.8472953971898227,2814.643504769914
Telangana,33.735847103296415,1329552.0,24.0,80318.0,3941066.0,2018,55398.0,0.06040982225591778,33.735847103296415,0.6089722932830863,2037.9765271629553
Tripura,19.23772970458246,82703.0,4.0,2494.0,429900.0,2018,20675.75,0.03015610074604307,19.23772970458246,0.9304489416143289,580.1349150965341
Uttar Pradesh,22.379130837575257,5615901.0,79.0,141839.0,25094366.0,2018,71087.35443037975,0.025256677423622673,22.379130837575257,0.31481169916785307,565.2224885856849
Uttarakhand,39.1378154603795,468255.0,36.0,17512.0,1196426.0,2018,13007.083333333334,0.03739842607126459,39.1378154603795,3.008961690902739,1463.6926980857988
West Bengal,19.32484790991535,2097410.0,45.0,60076.0,10853436.0,2018,46609.11111111111,0.0286429453468802,19.32484790991535,0.41461524258308613,553.5205625204774
Andhra Pradesh,35.21004006799439,1897149.0,41.0,99737.0,5388091.0,2019,46271.92682926829,0.052572043629678,35.2100400679944,0.7609374080727292,1851.0637626573123
Arunachal Pradesh,35.38054881179521,55816.0,10.0,2004.0,157759.0,2019,5581.6,0.03590368353160384,35.38054881179521,6.338782573418949,1270.2920277131575
Assam,17.303549429669932,650601.0,26.0,23080.0,3759928.0,2019,25023.115384615383,0.035474891677080116,17.30354942966993,0.6915026032413386,613.8415416465422
Bihar,14.458676260361832,1738432.0,35.0,29597.0,12023452.0,2019,49669.485714285714,0.017025112285093694,14.458676260361832,0.29109776460204606,246.16058682647878
Chandigarh,52.146897350782936,106667.0,3.0,3764.0,204551.0,2019,35555.666666666664,0.035287389726907106,52.146897350782936,1.4666269047816927,1840.127889866097
Chhattisgarh,18.49772814164384,586395.0,28.0,22235.0,3170092.0,2019,20942.678571428572,0.037918126859881135,18.497728141643837,0.8832551231951628,701.3992022944444
Delhi,48.02005484222792,1132856.0,28.0,21762.0,2359131.0,2019,40459.142857142855,0.019209855444999188,48.02005484222792,1.1868777104789856,922.4583119801316
Goa,28.443481634764613,52782.0,3.0,3639.0,185568.0,2019,17594.0,0.06894395816755712,28.443481634764616,1.6166580444904293,1961.0062079668908
Gujarat,21.320100713062168,1544840.0,76.0,60388.0,7245932.0,2019,20326.842105263157,0.039090132311436786,21.32010071306217,1.0488643834913163,833.4055577667581
Haryana,29.33623823184572,933541.0,53.0,39231.0,3182211.0,2019,17613.98113207547,0.04202386397597963,29.33623823184572,1.6655086667728822,1232.8220850220177
Himachal Pradesh,40.84636614535419,289488.0,27.0,10781.0,708724.0,2019,10721.777777777777,0.0372416127784226,40.84636614535418,3.8096635643776704,1521.1845513909504
Jammu and Kashmir,32.42037588473467,395416.0,15.0,11321.0,1219652.7313743578,2019,26361.066666666666,0.028630606753393895,32.42037588473467,1.22985827146858,928.215032753053
Jharkhand,20.91303578207223,817560.0,32.0,13688.0,3909332.0,2019,25548.75,0.01674250207935809,20.91303578207223,0.8185541673104254,350.13654506703443
Karnataka,31.973262719790497,2187892.0,69.0,148368.0,6842880.0,2019,31708.579710144928,0.06781321929967293,31.973262719790497,1.0083473625140291,2168.20987654321
Kerala,38.786546896879905,1137853.0,23.0,61558.0,2933628.0,2019,49471.86956521739,0.05410013420011196,38.786546896879905,0.7840121515065988,2098.3573922801393
Ladakh,7.917838446090588,2897.0,1.0,199.0,36588.26862564222,2019,2897.0,0.06869175008629617,7.917838446090589,2.733116481218705,543.8901797625223
Madhya Pradesh,24.189597588660206,2182154.0,66.0,64106.0,9021043.0,2019,33062.93939393939,0.02937739499595354,24.189597588660202,0.7316227181269395,710.627363155236
Maharashtra,32.3311189157047,4265472.0,65.0,163132.0,13193085.0,2019,65622.64615384616,0.03824477103589005,32.33111891570471,0.49268234078685913,1236.4962402652602
Manipur,38.32374762665288,124538.0,8.0,5494.0,324963.0,2019,15567.25,0.04411504922192423,38.32374762665288,2.4618187301323537,1690.6540129183938
Meghalaya,26.11285612440006,87541.0,10.0,3624.0,335241.0,2019,8754.1,0.04139774505660205,26.112856124400057,2.9829286990553063,1081.0133605376432
Mizoram,26.14887138777212,33236.0,3.0,1927.0,127103.0,2019,11078.666666666666,0.05797929955469972,26.14887138777212,2.3602904730808874,1516.0932472089567
Nagaland,18.488507177827568,44561.0,5.0,2421.0,241020.0,2019,8912.2,0.05433001952379884,18.488507177827564,2.0745166376234336,1004.4809559372666
Odisha,21.67411009447319,994929.0,32.0,40056.0,4590403.0,2019,31091.53125,0.040260159267646235,21.674110094473185,0.6971065503399156,872.6031243879894
Puducherry,46.33668176061347,80124.0,4.0,6371.0,172917.0,2019,20031.0,0.0795142529079926,46.33668176061347,2.3132485527738744,3684.426632430588
Punjab,28.242320652820034,869463.0,32.0,52072.0,3078582.0,2019,27170.71875,0.05988984005069796,28.24232065282003,1.0394395861471288,1691.4280665579154
Rajasthan,24.098339690156607,2206517.0,89.0,77377.0,9156303.0,2019,24792.325842696628,0.03506748418435027,24.098339690156607,0.9720080255098592,845.0681459536671
Sikkim,75.83941701166238,58071.0,8.0,1711.0,76571.0,2019,7258.875,0.029463932083139605,75.83941701166238,10.447819670632486,2234.5274320565227
Telangana,35.61043900581434,1389608.0,24.0,82703.0,3902249.0,2019,57900.333333333336,0.059515345334799456,35.610439005814335,0.6150299481145359,2119.367574954853
Tripura,20.20001639478646,86247.0,4.0,2411.0,426965.0,2019,21561.75,0.02795459552216309,20.20001639478646,0.9368449404517936,564.6832878573184
